average_recovery_accuracy,exact_match_accuracy,noise_robustness,accuracy_by_noise,accuracy_by_noise_and_missing,close_pattern_discrimination,close_pattern_confusion_rate,close_pair_count,close_pattern_distance,hyperedge_count,average_hyperedge_size,density,max_vertex_degree,mean_vertex_degree,vertex_degree_variance,degree_gini,degree_entropy,hyperedge_size_histogram,selected_hyperedges,constraint_penalty,complexity_objective
0.9546474358974358,0.8277777777777777,0.9546474358974358,"{0.0: 1.0, 0.1: 0.9666666666666667, 0.2: 0.8972756410256412}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9666666666666667, 'noise=0.1;missing=0.2': 0.9666666666666667, 'noise=0.2;missing=0.0': 0.9125, 'noise=0.2;missing=0.2': 0.882051282051282}",0.8235294117647058,0.049019607843137254,13,6,24,2.2083333333333335,0.48,6,1.65625,2.5380859375,0.4982311320754717,4.3198225209199785,"{2: 20, 3: 3, 4: 1}",24,0.0,0.47386174479166665
0.9575587606837606,0.8444444444444444,0.9575587606837606,"{0.0: 1.0, 0.1: 0.972676282051282, 0.2: 0.9}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.98125, 'noise=0.1;missing=0.2': 0.964102564102564, 'noise=0.2;missing=0.0': 0.9333333333333333, 'noise=0.2;missing=0.2': 0.8666666666666667}",0.8235294117647058,0.029411764705882353,13,6,25,2.4,0.5,6,1.875,2.546875,0.459375,4.414409345247941,"{2: 18, 3: 4, 4: 3}",25,0.0,0.49436125
0.9479166666666666,0.8055555555555556,0.9479166666666666,"{0.0: 1.0, 0.1: 0.9751602564102565, 0.2: 0.8685897435897435}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9708333333333333, 'noise=0.1;missing=0.2': 0.9794871794871794, 'noise=0.2;missing=0.0': 0.8833333333333333, 'noise=0.2;missing=0.2': 0.8538461538461538}",0.7843137254901961,0.058823529411764705,13,6,28,2.2857142857142856,0.56,7,2.0,2.5625,0.4287109375,4.503274219659049,"{2: 21, 3: 6, 4: 1}",28,3.0,0.550472142857143
0.9514155982905982,0.8166666666666667,0.9514155982905982,"{0.0: 1.0, 0.1: 0.9728365384615384, 0.2: 0.8814102564102565}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9854166666666667, 'noise=0.1;missing=0.2': 0.9602564102564102, 'noise=0.2;missing=0.0': 0.9166666666666666, 'noise=0.2;missing=0.2': 0.8461538461538461}",0.7941176470588235,0.058823529411764705,13,6,24,2.0833333333333335,0.48,5,1.5625,1.99609375,0.49625,4.311272380112911,"{2: 22, 3: 2}",24,0.0,0.47275510416666666
0.9387820512820513,0.7777777777777778,0.9387820512820513,"{0.0: 1.0, 0.1: 0.9602564102564102, 0.2: 0.8560897435897435}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9666666666666667, 'noise=0.1;missing=0.2': 0.9538461538461539, 'noise=0.2;missing=0.0': 0.875, 'noise=0.2;missing=0.2': 0.8371794871794871}",0.7549019607843137,0.049019607843137254,13,6,29,2.206896551724138,0.58,6,2.0,3.0625,0.4853515625,4.349642047769036,"{2: 24, 3: 4, 4: 1}",29,4.0,0.5689763793103448
0.9575587606837606,0.8444444444444444,0.9575587606837606,"{0.0: 1.0, 0.1: 0.972676282051282, 0.2: 0.9}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.98125, 'noise=0.1;missing=0.2': 0.964102564102564, 'noise=0.2;missing=0.0': 0.9333333333333333, 'noise=0.2;missing=0.2': 0.8666666666666667}",0.8235294117647058,0.029411764705882353,13,6,22,2.272727272727273,0.44,5,1.5625,1.87109375,0.4825,4.336174630069641,"{2: 18, 3: 2, 4: 2}",22,0.0,0.4362047443181818
0.9496527777777778,0.8111111111111111,0.9496527777777778,"{0.0: 1.0, 0.1: 0.966426282051282, 0.2: 0.8825320512820514}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.96875, 'noise=0.1;missing=0.2': 0.964102564102564, 'noise=0.2;missing=0.0': 0.8958333333333334, 'noise=0.2;missing=0.2': 0.8692307692307691}",0.7843137254901961,0.049019607843137254,13,6,26,2.1923076923076925,0.52,5,1.78125,2.6083984375,0.5005482456140351,4.304932401361218,"{2: 21, 3: 5}",26,1.0,0.5117534194711538
0.9588141025641025,0.8444444444444444,0.9588141025641025,"{0.0: 1.0, 0.1: 0.9739583333333334, 0.2: 0.9024839743589744}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.98125, 'noise=0.1;missing=0.2': 0.9666666666666667, 'noise=0.2;missing=0.0': 0.9229166666666667, 'noise=0.2;missing=0.2': 0.882051282051282}",0.8529411764705882,0.0392156862745098,13,6,27,2.185185185185185,0.54,6,1.84375,2.6318359375,0.4782838983050847,4.380453380156915,"{2: 23, 3: 3, 4: 1}",27,2.0,0.5307033998842593
0.9512553418803419,0.8222222222222222,0.9512553418803419,"{0.0: 1.0, 0.1: 0.9697115384615385, 0.2: 0.8840544871794872}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.9791666666666666, 'noise=0.1;missing=0.2': 0.9602564102564102, 'noise=0.2;missing=0.0': 0.9270833333333334, 'noise=0.2;missing=0.2': 0.841025641025641}",0.803921568627451,0.049019607843137254,13,6,25,2.08,0.5,5,1.625,2.296875,0.5096153846153846,4.279780045430953,"{2: 23, 3: 2}",25,0.0,0.49180124999999997
0.9536858974358974,0.8222222222222222,0.9536858974358974,"{0.0: 1.0, 0.1: 0.9785256410256411, 0.2: 0.8825320512820513}","{'noise=0.0;missing=0.0': 1.0, 'noise=0.0;missing=0.2': 1.0, 'noise=0.1;missing=0.0': 0.975, 'noise=0.1;missing=0.2': 0.9820512820512821, 'noise=0.2;missing=0.0': 0.9125, 'noise=0.2;missing=0.2': 0.8525641025641024}",0.8137254901960784,0.06862745098039216,13,6,23,2.217391304347826,0.46,5,1.59375,1.7412109375,0.44669117647058826,4.434789744348676,"{2: 19, 3: 3, 4: 1}",23,0.0,0.4547412601902174
